,district,rooms,size,level,max_levels,price
0,Yunusobod,3,57.0,4,4,52000.0
1,Yakkasaroy,2,52.0,4,5,56000.0
2,Chilonzor,2,42.0,4,4,37000.0
3,Chilonzor,3,65.0,1,4,49500.0
4,Chilonzor,3,70.0,3,5,55000.0
5,Chilonzor,1,28.0,1,4,25500.0
6,Chilonzor,1,30.0,2,4,21200.0
7,Yakkasaroy,2,32.0,5,5,20000.0
8,Uchtepa,2,51.0,3,4,26200.0
9,Chilonzor,1,30.0,1,4,22200.0
10,Uchtepa,2,30.0,2,5,24200.0
11,Chilonzor,3,67.0,2,5,30200.0
12,Chilonzor,1,30.0,2,4,21200.0
13,Chilonzor,1,30.0,2,4,21200.0
14,Chilonzor,1,30.0,2,4,21200.0
15,Chilonzor,1,35.0,1,5,22500.0
16,Chilonzor,1,43.0,4,4,22500.0
17,Chilonzor,2,51.0,2,4,21200.0
18,Mirzo-Ulugbek,3,65.0,1,4,32500.0
19,Chilonzor,2,51.0,2,4,22200.0
20,Chilonzor,2,51.0,2,4,24200.0
21,Yakkasaroy,4,90.0,5,5,45000.0
22,Chilonzor,4,80.0,3,4,56000.0
23,Yashnobod,2,70.0,5,5,47000.0
24,Mirzo-Ulugbek,3,69.0,1,4,49900.0
25,Mirobod,3,80.0,2,4,76000.0
26,Uchtepa,3,96.0,3,4,65000.0
27,Uchtepa,4,76.0,4,4,47500.0
28,Uchtepa,2,45.0,4,5,30000.0
29,Chilonzor,1,27.0,3,4,32000.0
30,Uchtepa,2,65.0,3,9,44000.0
31,Chilonzor,2,64.0,3,4,56500.0
32,Chilonzor,1,42.0,5,9,35000.0
33,Chilonzor,1,26.0,2,4,23500.0
34,Uchtepa,4,76.0,5,5,60500.0
35,Chilonzor,3,80.0,2,4,68000.0
36,Chilonzor,3,72.0,5,5,41500.0
37,Uchtepa,4,100.0,3,12,55000.0
38,Uchtepa,3,65.0,4,4,44000.0
39,Uchtepa,4,80.0,3,4,52500.0
40,Uchtepa,3,72.0,6,9,43000.0
41,Mirobod,2,65.0,1,4,80000.0
42,Yakkasaroy,2,63.0,1,5,42000.0
43,Yakkasaroy,2,48.0,5,9,23000.0
44,Yunusobod,3,70.0,3,4,47000.0
45,Yakkasaroy,3,102.0,7,12,88784.0
46,Uchtepa,4,78.0,2,4,65000.0
47,Chilonzor,4,100.0,1,4,97000.0
48,Chilonzor,1,34.0,1,4,28500.0
49,Chilonzor,2,42.0,2,4,34500.0
50,Uchtepa,4,80.0,4,5,51000.0
51,Uchtepa,3,90.0,1,12,51000.0
52,Chilonzor,2,45.0,2,4,48000.0
53,Chilonzor,3,70.0,5,5,40000.0
54,Chilonzor,4,96.0,7,9,67000.0
55,Uchtepa,4,80.0,4,5,68000.0
56,Uchtepa,2,63.0,1,4,40500.0
57,Uchtepa,2,56.0,4,5,54000.0
58,Uchtepa,2,52.0,1,4,36000.0
59,Uchtepa,3,98.0,2,4,68000.0
60,Chilonzor,3,96.0,9,9,63000.0
61,Shayxontohur,4,93.0,4,4,63500.0
62,Shayxontohur,2,60.0,9,9,49500.0
63,Chilonzor,5,82.0,4,4,70000.0
64,Uchtepa,5,120.0,9,9,52000.0
65,Uchtepa,4,110.0,3,3,91000.0
66,Chilonzor,4,95.0,2,4,83000.0
67,Uchtepa,2,56.0,1,4,40500.0
68,Chilonzor,3,68.0,3,4,48000.0
69,Olmazor,2,57.0,3,4,42000.0
70,Yashnobod,1,46.0,11,11,19765.0
71,Chilonzor,2,45.0,4,4,34500.0
72,Yunusobod,2,40.0,1,9,40000.0
73,Mirzo-Ulugbek,3,95.0,5,5,50000.0
74,Yunusobod,2,53.0,1,9,68000.0
75,Olmazor,2,72.0,4,9,41500.0
76,Mirzo-Ulugbek,3,65.0,4,5,41500.0
77,Yunusobod,4,82.0,1,4,86000.0
78,Chilonzor,1,42.0,3,9,25500.0
79,Chilonzor,2,54.0,4,4,31500.0
80,Chilonzor,1,42.0,1,4,26500.0
81,Uchtepa,1,20.0,3,9,14500.0
82,Chilonzor,2,45.0,4,4,45000.0
83,Chilonzor,1,46.0,2,5,30000.0
84,Chilonzor,2,50.0,2,4,34500.0
85,Chilonzor,1,36.0,2,4,27000.0
86,Uchtepa,4,80.0,6,9,59500.0
87,Uchtepa,3,72.0,3,9,48000.0
88,Uchtepa,4,78.0,5,5,47299.0
89,Chilonzor,2,46.0,4,5,37000.0
90,Chilonzor,2,60.0,2,4,38000.0
91,Olmazor,2,58.0,5,9,29500.0
92,Chilonzor,2,70.0,2,7,56000.0
93,Yakkasaroy,2,68.0,6,9,45000.0
94,Uchtepa,4,100.0,3,5,61500.0
95,Chilonzor,3,68.0,5,5,46500.0
96,Uchtepa,3,70.0,4,12,51000.0
97,Chilonzor,3,90.0,5,9,58400.0
98,Chilonzor,3,60.0,5,5,47000.0
99,Uchtepa,4,80.0,5,5,52500.0
100,Uchtepa,3,74.0,3,5,50000.0
101,Chilonzor,2,48.0,2,5,41500.0
102,Chilonzor,4,94.0,9,9,45000.0
103,Uchtepa,3,65.0,4,9,47500.0
104,Chilonzor,4,85.0,3,4,52500.0
105,Uchtepa,1,42.0,5,5,26000.0
106,Chilonzor,4,110.0,3,4,105000.0
107,Uchtepa,3,70.0,4,4,42000.0
108,Chilonzor,3,68.0,2,5,53500.0
109,Yakkasaroy,2,48.0,5,9,23000.0
110,Yashnobod,1,20.0,3,3,12500.0
111,Mirobod,3,110.0,4,7,107000.0
112,Chilonzor,2,46.0,3,4,35000.0
113,Chilonzor,4,125.0,5,5,70000.0
114,Mirzo-Ulugbek,2,72.0,18,19,55000.0
115,Mirzo-Ulugbek,2,64.67,7,9,39414.0
116,Yunusobod,2,70.0,4,9,60000.0
117,Yunusobod,1,50.0,7,9,37000.0
118,Mirzo-Ulugbek,2,51.0,2,4,49000.0
119,Mirzo-Ulugbek,1,22.0,1,2,18000.0
120,Chilonzor,2,54.0,1,4,42500.0
121,Chilonzor,1,30.0,3,5,34500.0
122,Chilonzor,1,42.0,5,9,37000.0
123,Yakkasaroy,3,70.0,2,4,70000.0
124,Shayxontohur,3,68.0,2,4,45800.0
125,Chilonzor,1,30.0,4,4,24000.0
126,Uchtepa,1,52.0,1,4,58000.0
127,Chilonzor,4,72.0,4,4,55500.0
128,Chilonzor,4,76.0,2,4,68000.0
129,Uchtepa,2,48.0,4,4,31000.0
130,Chilonzor,2,66.0,3,9,47000.0
131,Chilonzor,3,60.0,3,5,47000.0
132,Chilonzor,2,37.0,1,4,41000.0
133,Mirzo-Ulugbek,1,40.0,3,4,24000.0
134,Yunusobod,2,61.0,1,4,55000.0
135,Chilonzor,1,32.0,2,4,28500.0
136,Chilonzor,3,65.0,4,4,42000.0
137,Uchtepa,3,66.0,2,5,67000.0
138,Chilonzor,3,70.0,4,4,46500.0
139,Chilonzor,3,66.0,4,4,50500.0
140,Uchtepa,3,65.0,1,4,40000.0
141,Yashnobod,1,37.0,5,8,13071.0
142,Mirzo-Ulugbek,2,69.65,4,9,45188.0
143,Uchtepa,4,88.0,4,5,53000.0
144,Yakkasaroy,1,38.0,2,5,25600.0
145,Mirobod,2,61.0,6,9,52000.0
146,Mirzo-Ulugbek,2,45.0,3,7,44000.0
147,Sergeli,3,69.0,2,9,40000.0
148,Mirzo-Ulugbek,2,55.13,5,9,35226.0
149,Chilonzor,3,67.0,4,4,54000.0
150,Shayxontohur,1,38.0,5,5,22500.0
151,Mirzo-Ulugbek,2,67.0,2,4,36500.0
152,Yakkasaroy,2,54.0,4,9,40000.0
153,Chilonzor,2,58.0,1,9,35000.0
154,Mirobod,4,100.0,5,8,142000.0
155,Chilonzor,4,90.0,4,5,52000.0
156,Olmazor,3,91.0,3,3,85000.0
157,Shayxontohur,4,111.0,7,8,110000.0
158,Sergeli,2,54.0,6,7,36000.0
159,Yashnobod,3,69.0,5,5,52000.0
160,Yunusobod,5,107.0,5,5,50000.0
161,Mirzo-Ulugbek,3,80.0,2,5,55000.0
162,Yunusobod,2,63.0,5,9,42000.0
163,Mirobod,3,74.0,5,16,69000.0
164,Yashnobod,2,58.0,5,5,28900.0
165,Mirzo-Ulugbek,2,62.0,9,9,34000.0
166,Mirzo-Ulugbek,3,107.0,2,8,85000.0
167,Olmazor,1,40.41,2,4,25000.0
168,Chilonzor,2,54.0,2,4,39000.0
169,Mirzo-Ulugbek,1,40.0,1,4,60000.0
170,Mirzo-Ulugbek,2,50.0,1,5,36500.0
171,Yashnobod,3,75.0,5,9,42000.0
172,Mirzo-Ulugbek,3,84.0,7,8,85000.0
173,Mirzo-Ulugbek,3,117.0,2,5,125000.0
174,Mirzo-Ulugbek,3,70.0,5,5,37000.0
175,Mirzo-Ulugbek,1,47.0,2,9,42000.0
176,Chilonzor,2,56.0,2,5,36000.0
177,Chilonzor,1,42.0,3,9,28000.0
178,Chilonzor,2,60.0,5,9,34000.0
179,Chilonzor,1,32.0,2,5,28500.0
180,Chilonzor,1,42.0,2,5,28500.0
181,Chilonzor,2,60.0,2,9,34500.0
182,Chilonzor,2,54.0,1,4,34500.0
183,Chilonzor,1,42.0,1,5,25500.0
184,Chilonzor,2,60.0,2,9,43500.0
185,Mirobod,2,72.0,7,9,63000.0
186,Yashnobod,3,80.0,1,4,39999.0
187,Chilonzor,1,33.0,2,4,24500.0
188,Yunusobod,2,61.0,3,5,41000.0
189,Mirzo-Ulugbek,4,187.0,2,5,210000.0
190,Mirzo-Ulugbek,2,63.0,5,5,36000.0
191,Olmazor,2,60.0,5,5,34000.0
192,Chilonzor,1,29.0,2,4,23000.0
193,Mirzo-Ulugbek,2,63.0,5,5,36000.0
194,Uchtepa,2,48.0,4,5,28500.0
195,Mirzo-Ulugbek,1,11.0,3,9,7500.0
196,Chilonzor,2,45.0,4,4,47000.0
197,Olmazor,4,122.0,5,5,95000.0
198,Yunusobod,1,42.0,2,4,44000.0
199,Mirzo-Ulugbek,2,50.0,1,4,45000.0
200,Mirzo-Ulugbek,5,100.0,4,4,48000.0
201,Mirzo-Ulugbek,2,60.0,4,4,32000.0
202,Yakkasaroy,2,50.0,2,4,47000.0
203,Mirzo-Ulugbek,3,78.0,5,9,70500.0
204,Yakkasaroy,4,164.0,5,6,170000.0
205,Mirzo-Ulugbek,2,60.0,3,5,30500.0
206,Chilonzor,1,42.0,2,4,26000.0
207,Chilonzor,3,70.0,4,4,37500.0
208,Chilonzor,1,35.0,1,5,26500.0
209,Chilonzor,2,47.0,2,4,32000.0
210,Chilonzor,1,36.0,2,5,26500.0
211,Chilonzor,2,50.0,2,5,34500.0
212,Chilonzor,2,52.0,2,4,36500.0
213,Yashnobod,2,46.0,2,4,24500.0
214,Chilonzor,3,92.0,3,9,42500.0
215,Chilonzor,3,70.0,1,4,46000.0
216,Yunusobod,3,70.0,2,4,38500.0
217,Mirzo-Ulugbek,2,60.0,7,8,36000.0
218,Mirzo-Ulugbek,2,55.0,3,5,35000.0
219,Mirzo-Ulugbek,2,63.0,4,9,55500.0
220,Yakkasaroy,2,89.0,4,12,81772.0
221,Yakkasaroy,1,55.0,1,12,50533.0
222,Mirzo-Ulugbek,3,100.0,2,6,119000.0
223,Mirzo-Ulugbek,4,208.0,2,3,93000.0
